building_id,meter,timestamp,meter_reading
1249,1,2016-01-01 00:00:00,695.555
1249,1,2016-01-01 01:00:00,830.408
1249,1,2016-01-01 02:00:00,646.394
1249,1,2016-01-01 03:00:00,662.382
1249,1,2016-01-01 04:00:00,672.578
1249,1,2016-01-01 05:00:00,576.014
1249,1,2016-01-01 06:00:00,620.534
1249,1,2016-01-01 07:00:00,591.759
1249,1,2016-01-01 08:00:00,590.303
1249,1,2016-01-01 09:00:00,633.6030000000002
1249,1,2016-01-01 10:00:00,777.582
1249,1,2016-01-01 11:00:00,689.795
1249,1,2016-01-01 12:00:00,722.7560000000002
1249,1,2016-01-01 13:00:00,700.8
1249,1,2016-01-01 14:00:00,647.021
1249,1,2016-01-01 15:00:00,630.183
1249,1,2016-01-01 16:00:00,756.806
1249,1,2016-01-01 17:00:00,637.021
1249,1,2016-01-01 18:00:00,659.995
1249,1,2016-01-01 19:00:00,752.77
1249,1,2016-01-01 20:00:00,664.562
1249,1,2016-01-01 21:00:00,721.082
1249,1,2016-01-01 22:00:00,681.0260000000002
1249,1,2016-01-01 23:00:00,577.809
1249,1,2016-01-02 00:00:00,544.2769999999998
1249,1,2016-01-02 01:00:00,581.7080000000002
1249,1,2016-01-02 02:00:00,702.3810000000002
1249,1,2016-01-02 03:00:00,702.549
1249,1,2016-01-02 04:00:00,640.878
1249,1,2016-01-02 05:00:00,658.3530000000002
1249,1,2016-01-02 06:00:00,637.326
1249,1,2016-01-02 07:00:00,576.737
1249,1,2016-01-02 08:00:00,522.243
1249,1,2016-01-02 09:00:00,495.42
1249,1,2016-01-02 10:00:00,671.232
1249,1,2016-01-02 11:00:00,621.6519999999998
1249,1,2016-01-02 12:00:00,684.7360000000001
1249,1,2016-01-02 13:00:00,649.835
1249,1,2016-01-02 14:00:00,702.721
1249,1,2016-01-02 15:00:00,789.201
1249,1,2016-01-02 16:00:00,823.7389999999998
1249,1,2016-01-02 17:00:00,745.1260000000002
1249,1,2016-01-02 18:00:00,827.197
1249,1,2016-01-02 19:00:00,784.628
1249,1,2016-01-02 20:00:00,742.817
1249,1,2016-01-02 21:00:00,754.687
1249,1,2016-01-02 22:00:00,784.0010000000002
1249,1,2016-01-02 23:00:00,639.8530000000002
1249,1,2016-01-03 00:00:00,676.557
1249,1,2016-01-03 01:00:00,588.779
1249,1,2016-01-03 02:00:00,568.429
1249,1,2016-01-03 03:00:00,641.939
1249,1,2016-01-03 04:00:00,625.173
1249,1,2016-01-03 05:00:00,615.761
1249,1,2016-01-03 06:00:00,610.889
1249,1,2016-01-03 07:00:00,569.241
1249,1,2016-01-03 08:00:00,544.614
1249,1,2016-01-03 09:00:00,505.625
1249,1,2016-01-03 10:00:00,676.543
1249,1,2016-01-03 11:00:00,658.62
1249,1,2016-01-03 12:00:00,680.454
1249,1,2016-01-03 13:00:00,737.1610000000002
1249,1,2016-01-03 14:00:00,638.997
1249,1,2016-01-03 15:00:00,774.927
1249,1,2016-01-03 16:00:00,756.247
1249,1,2016-01-03 17:00:00,723.7360000000001
1249,1,2016-01-03 18:00:00,769.8910000000002
1249,1,2016-01-03 19:00:00,682.451
1249,1,2016-01-03 20:00:00,848.735
1249,1,2016-01-03 21:00:00,704.34
1249,1,2016-01-03 22:00:00,586.698
